Snake,Genus,Species,Family,Country,Reference,SVMPi,DC-fragment,CRISP,PLB,Crotoxin,SP,KuTi,KLK,LAAO,VEGF,CVF,Cytotoxin,Myotoxin,Ohanin,Crotamine,Vespryn,HYA,NGF,PDE,ACHE,NT5,EN,QC,ECTONT,SVMP,Disintegrin,Lectins,3FTx,PLA2,VAP,Unknown
Bothrops erythromelas,Bothrops,erythromelas,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/25462430,0,0.9,0,0,0,5.8,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8,8.9,8.7,0,10.1,14.5,0
Bothrops erythromelas,Bothrops,erythromelas,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/25462430,0,1.2,0.4,0,0,6,0,0,0,2.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,45.2,3.4,18,0,13.5,9.3,0.20000000000000284
Bothrops erythromelas,Bothrops,erythromelas,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/25462430,0,2.1,0,0.1,0,9.7,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.2,5.3,8.4,0,10.5,12.2,1.1999999999999886
Bothrops fonsecai,Bothrops,fonsecai,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/18760386,0,0.7,2.4,0,0,4.1,0,0,1.9,1.95,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,42.5,4.4,9.8,0,30.1,0,0.19999999999998863
Bothrops insularis,Bothrops,insularis,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/19211044,0,0,1.3,0,0,12.46,0,0,1.3,1.3,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,29.91,0,31.21,0,9.97,11.27,-0.01999999999999602
Bothrops jararaca,Bothrops,jararaca,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/24069493,0,0,1.4,0.8,0,11.7,0,0,10.7,1.8,0,0,0,0,0,0,0,0.3,1.3,0,0,0,0.4,1.1,42.800000000000004,0,24.4,0,3.2,0,0.0999999999999801
Bothrops jararacussu,Bothrops,jararacussu,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/24069493,0,0,2.2,1.7,0,12.3,0,0,15,0,0,0,0,0,0,0,0,0.6,1.7,0,0,0,1,3.9,26.2,0,9.7,0,25.7,0,-1.4210854715202004e-14
Bothrops lanceolatus,Bothrops,lanceolatus,Viperidae,Costa Rica,https://www.ncbi.nlm.nih.gov/pubmed/18785768,0,0,0,0,0,14.39,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.12,0,0.1,0,8.59,0,0
Bothrops neuwiedi,Bothrops,neuwiedi,Viperidae,Brazil,https://www.ncbi.nlm.nih.gov/pubmed/24069493,0,0,2,1.4,0,8.8,0,0,16.7,0.4,0,0,0,0,0,0,0,0.3,1.2,0,0,0,0.8,1.5,49.9,0,8.6,0,8.4,0,0
Bothrops pictus,Bothrops,pictus,Viperidae,Peru,https://www.ncbi.nlm.nih.gov/pubmed/22300577,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,8.9,1.1,0,14.1,0,0.20000000000000284
